Órgão,Início,Término,Ciclo,Atividade,Dica,Municípios,Participação,ID,VTR,Viatura,KM
"REDEC 3 - METROPOLITANA","2019-09-04 00:00:00","2019-09-04 00:00:01","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","São Gonçalo",promotor,8,Sim,"ARDC - 015",17
"REDEC 3 - METROPOLITANA","2019-09-05 00:00:00","2019-09-05 00:00:01","Prevenção de Riscos e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Rio Bonito",promotor,9,Sim,"ARDC - 015",64
"REDEC 3 - METROPOLITANA","2019-09-05 00:00:00","2019-09-05 00:00:01","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Tanguá,promotor,10,Sim,"ARDC - 015",56
"REDEC 5 - SUL I","2019-09-09 10:00:00","2019-09-09 12:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Barra Mansa, Pinheiral",promotor,1,Sim,"ARDC - 018",135
"REDEC 3 - METROPOLITANA","2019-09-10 00:00:00","2019-09-10 00:00:01","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Niterói, São Gonçalo",promotor,7,Sim,"ARDC - 015",22
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-10 08:00:00","2019-09-10 12:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Duque de Caxias, Nova Iguaçu",promotor,3,Sim,"ARDC - 012",80
"REDEC 3 - METROPOLITANA","2019-09-11 00:00:00","2019-09-11 00:00:01","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","São Gonçalo",participante,11,Sim,"ARDC - 015",17
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-11 08:00:00","2019-09-11 12:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo, Engenheiro Paulo de Frontin, Mesquita, Nova Iguaçu",participante,4,Sim,"ARDC - 012",45
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-12 09:00:00","2019-09-12 11:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Duque de Caxias",participante,13,Sim,"ARDC - 012",54
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-16 00:00:00","2019-09-16 00:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Guapimirim, Japeri, Nova Iguaçu, Paracambi, Queimados, Seropédica",participante,14,Sim,"ARDC - 012",72
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-17 09:30:00","2019-09-17 13:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Japeri, Paracambi, Queimados, Seropédica",participante,15,Sim,"ARDC - 012",200
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-18 09:00:00","2019-09-18 17:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Guapimirim, Japeri, Magé, Mesquita, Queimados",promotor,16,Sim,"ARDC - 012",100
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-19 10:00:00","2019-09-19 13:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Duque de Caxias",participante,19,Sim,"ARDC - 012",85
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-23 09:00:00","2019-09-23 15:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Nova Iguaçu",promotor,26,Sim,"ARDC - 012",138
"REDEC 5 - SUL I","2019-09-23 13:00:00","2019-09-23 16:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Resende,promotor,22,Sim,"ARDC - 018",70
"REDEC 3 - METROPOLITANA","2019-09-24 00:00:00","2019-09-24 00:00:01","Prevenção de Riscos e Desastres","Reunião de Trabalho Interna","Reunião promovida pelo órgão para seus próprios integrantes. O registro é do órgão que promove a atividade",Niterói,promotor,30,,,
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-24 13:00:00","2019-09-24 17:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo",promotor,28,Sim,"ARDC - 012",82
"REDEC 3 - METROPOLITANA","2019-09-25 00:00:00","2019-09-25 00:00:01","Prevenção de Riscos e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Tanguá,participante,31,Sim,"ARDC - 015",55
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-25 00:00:00","2019-09-25 00:00:00","Mitigação de Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Nova Iguaçu",promotor,32,Sim,"ARDC - 012",40
